	end	entity_group	score	start	word	brand_name	application_number	match_type	concept_id
61	486	CHEMICAL	0.9999979734420776	477	celecoxib	Celecoxib	NDA020998	80	rxcui:140587
63	29	GENETIC	0.9999865293502808	22	CYP2C19			100	normalize.gene:CYP2C19
64	459	GENETIC	0.999994158744812	452	CYP2C19			100	normalize.gene:CYP2C19
65	598	GENETIC	0.9999923706054688	591	CYP2C19			100	normalize.gene:CYP2C19
66	616	GENETIC	0.9999871850013733	600	CYP2C19 * 2 / * 2			0	
67	715	GENETIC	0.9999366402626038	699	CYP2C19 * 1 / * 1			0	
68	751	GENETIC	0.9999870657920837	735	CYP2C19 * 1 / * x			0	
69	267	CHEMICAL	0.9999982118606567	255	pantoprazole			80	rxcui:253191
71	29	GENETIC	0.9999819993972778	22	CYP2C19			100	normalize.gene:CYP2C19
72	118	GENETIC	0.9936403036117554	102	CYP2C19 * 1 allele			0	
73	173	GENETIC	0.9387702345848083	149	CYP2C19 * 2 and * 3 alleles			0	
74	485	GENETIC	0.9999910593032837	478	CYP2C19			100	normalize.gene:CYP2C19
75	727	GENETIC	0.999990701675415	720	CYP2C19			100	normalize.gene:CYP2C19
76	96	CHEMICAL	0.9999980926513672	86	omeprazole			80	rxcui:7646
77	449	CHEMICAL	0.9999980926513672	439	omeprazole			80	rxcui:7646
78	522	CHEMICAL	0.9999980926513672	512	omeprazole			80	rxcui:7646
79	800	CHEMICAL	0.9999979734420776	790	omeprazole			80	rxcui:7646
80	828	CHEMICAL	0.9999982118606567	818	omeprazole			80	rxcui:7646
82	29	GENETIC	0.9999877214431763	22	CYP2C19			100	normalize.gene:CYP2C19
83	455	GENETIC	0.9999939203262329	448	CYP2C19			100	normalize.gene:CYP2C19
84	594	GENETIC	0.9999927282333374	587	CYP2C19			100	normalize.gene:CYP2C19
85	609	GENETIC	0.999987781047821	596	CYP2C19 * 2 / * 2			0	
86	705	GENETIC	0.9999259114265442	692	CYP2C19 * 1 / * 1			0	
87	738	GENETIC	0.9999886155128479	725	CYP2C19 * 1 / * x			0	
88	267	CHEMICAL	0.9999982118606567	255	pantoprazole			80	rxcui:253191
90	54	GENETIC	0.9999889731407166	37	HMG - CoA reductase			0	
91	107	GENETIC	0.999990701675415	100	OATP1B1			60	normalize.gene:OATP1B1
92	129	GENETIC	0.5277872085571289	118	transporter			0	
93	318	GENETIC	0.9999926090240479	311	OATP1B1			60	normalize.gene:OATP1B1
94	335	GENETIC	0.9975831508636475	321	SLCO1B1 521T > C			0	
95	391	GENETIC	0.9974077343940735	376	SLCO1B1 521 C / C			0	
96	44	CHEMICAL	0.9999901652336121	37	HMG - CoA			0	
97	89	CHEMICAL	0.9999961853027344	77	rosuvastatin			80	rxcui:301542
98	184	CHEMICAL	0.9999980926513672	172	rosuvastatin			80	rxcui:301542
99	523	CHEMICAL	0.9999979734420776	511	rosuvastatin			80	rxcui:301542
101	54	GENETIC	0.9999893307685852	37	HMG - CoA reductase			0	
102	107	GENETIC	0.9999908208847046	100	OATP1B1			60	normalize.gene:OATP1B1
103	318	GENETIC	0.9999924898147583	311	OATP1B1			60	normalize.gene:OATP1B1
104	333	GENETIC	0.9998694658279419	321	SLCO1B1 521T			0	
105	404	GENETIC	0.9974002838134766	389	SLCO1B1 521 C / C			0	
106	44	CHEMICAL	0.9999895095825195	37	HMG - CoA			0	
107	89	CHEMICAL	0.999996542930603	77	rosuvastatin			80	rxcui:301542
108	184	CHEMICAL	0.9999980926513672	172	rosuvastatin			80	rxcui:301542
109	536	CHEMICAL	0.9999979734420776	524	rosuvastatin			80	rxcui:301542
111	54	GENETIC	0.9999893307685852	37	HMG - CoA reductase			0	
112	107	GENETIC	0.9999908208847046	100	OATP1B1			60	normalize.gene:OATP1B1
113	318	GENETIC	0.9999924898147583	311	OATP1B1			60	normalize.gene:OATP1B1
114	333	GENETIC	0.9998694658279419	321	SLCO1B1 521T			0	
115	404	GENETIC	0.9974002838134766	389	SLCO1B1 521 C / C			0	
116	44	CHEMICAL	0.9999895095825195	37	HMG - CoA			0	
117	89	CHEMICAL	0.999996542930603	77	rosuvastatin			80	rxcui:301542
118	184	CHEMICAL	0.9999980926513672	172	rosuvastatin			80	rxcui:301542
119	536	CHEMICAL	0.9999979734420776	524	rosuvastatin			80	rxcui:301542
121	54	GENETIC	0.9999893307685852	37	HMG - CoA reductase			0	
122	107	GENETIC	0.9999908208847046	100	OATP1B1			60	normalize.gene:OATP1B1
123	318	GENETIC	0.9999924898147583	311	OATP1B1			60	normalize.gene:OATP1B1
124	333	GENETIC	0.9998694658279419	321	SLCO1B1 521T			0	
125	404	GENETIC	0.9974002838134766	389	SLCO1B1 521 C / C			0	
126	44	CHEMICAL	0.9999895095825195	37	HMG - CoA			0	
127	89	CHEMICAL	0.999996542930603	77	rosuvastatin			80	rxcui:301542
128	184	CHEMICAL	0.9999980926513672	172	rosuvastatin			80	rxcui:301542
129	536	CHEMICAL	0.9999979734420776	524	rosuvastatin			80	rxcui:301542
131	84	GENETIC	0.9999936819076538	49	thiopurine S - methyltransferase gene			0	
132	99	GENETIC	0.9999933242797852	92	TPMT * 3B			0	
133	111	GENETIC	0.9999799132347107	104	TPMT * 3C			0	
134	584	GENETIC	0.999201774597168	566	TPMT gene variants			0	
135	59	CHEMICAL	0.9999979734420776	49	thiopurine			0	
136	61	CHEMICAL	0.9997087121009827	60	S			0	
137	222	CHEMICAL	0.9999983310699463	213	cisplatin			80	rxcui:2555
138	381	CHEMICAL	0.9999982118606567	372	cisplatin			80	rxcui:2555
140	165	DISEASE	0.9999929666519165	154	ototoxicity			0	
142	496	DISEASE	0.9999922513961792	485	ototoxicity			0	
144	633	DISEASE	0.9999924898147583	622	ototoxicity			0	
146	101	CHEMICAL	0.9999974966049194	93	naproxen			80	rxcui:142442
147	159	CHEMICAL	0.9999978542327881	152	aspirin			80	rxcui:1191
148	231	CHEMICAL	0.9999949932098389	224	aspirin			80	rxcui:1191
149	269	CHEMICAL	0.9999244809150696	255	thromboxane B2			80	chembl:CHEMBL1552426
150	334	CHEMICAL	0.9999854564666748	327	aspirin			80	rxcui:1191
151	360	CHEMICAL	0.9999973773956299	352	naproxen			80	rxcui:142442
152	372	CHEMICAL	0.9999904632568359	365	aspirin			80	rxcui:1191
153	447	CHEMICAL	0.9999972581863403	439	naproxen			80	rxcui:142442
154	472	CHEMICAL	0.999815046787262	465	aspirin			80	rxcui:1191
155	579	CHEMICAL	0.9999977350234985	571	naproxen			80	rxcui:142442
156	624	CHEMICAL	0.9999926090240479	617	aspirin			80	rxcui:1191
157	666	CHEMICAL	0.9999979734420776	659	aspirin			80	rxcui:1191
158	712	CHEMICAL	0.9999974966049194	704	naproxen			80	rxcui:142442
159	767	CHEMICAL	0.9999971389770508	759	naproxen			80	rxcui:142442
160	826	CHEMICAL	0.9999916553497314	819	aspirin			80	rxcui:1191
161	842	CHEMICAL	0.9999972581863403	834	naproxen			80	rxcui:142442
162	881	CHEMICAL	0.9966643452644348	874	aspirin			80	rxcui:1191
163	1037	CHEMICAL	0.999997615814209	1029	naproxen			80	rxcui:142442
165	54	GENETIC	0.9999889731407166	37	HMG - CoA reductase	Rosuvastatin	ANDA206434	0	
166	107	GENETIC	0.999990701675415	100	OATP1B1	Rosuvastatin	ANDA206434	60	normalize.gene:OATP1B1
167	129	GENETIC	0.5277872085571289	118	transporter	Rosuvastatin	ANDA206434	0	
168	318	GENETIC	0.9999926090240479	311	OATP1B1	Rosuvastatin	ANDA206434	60	normalize.gene:OATP1B1
169	335	GENETIC	0.9975831508636475	321	SLCO1B1 521T > C	Rosuvastatin	ANDA206434	0	
170	391	GENETIC	0.9974077343940735	376	SLCO1B1 521 C / C	Rosuvastatin	ANDA206434	0	
171	44	CHEMICAL	0.9999901652336121	37	HMG - CoA	Rosuvastatin	ANDA206434	0	
172	89	CHEMICAL	0.9999961853027344	77	rosuvastatin	Rosuvastatin	ANDA206434	80	rxcui:301542
173	184	CHEMICAL	0.9999980926513672	172	rosuvastatin	Rosuvastatin	ANDA206434	80	rxcui:301542
174	523	CHEMICAL	0.9999979734420776	511	rosuvastatin	Rosuvastatin	ANDA206434	80	rxcui:301542
176	29	GENETIC	0.9999805688858032	22	CYP2C19			100	normalize.gene:CYP2C19
177	118	GENETIC	0.9928464889526367	102	CYP2C19 * 1 allele			0	
178	173	GENETIC	0.9403674006462097	149	CYP2C19 * 2 and * 3 alleles			0	
179	485	GENETIC	0.9999911785125732	478	CYP2C19			100	normalize.gene:CYP2C19
180	704	GENETIC	0.9999895095825195	697	CYP2C19			100	normalize.gene:CYP2C19
181	96	CHEMICAL	0.9999982118606567	86	omeprazole			80	rxcui:7646
182	449	CHEMICAL	0.9999982118606567	439	omeprazole			80	rxcui:7646
183	522	CHEMICAL	0.9999982118606567	512	omeprazole			80	rxcui:7646
184	777	CHEMICAL	0.9999978542327881	767	omeprazole			80	rxcui:7646
185	805	CHEMICAL	0.9999980926513672	795	omeprazole			80	rxcui:7646
187	28	GENETIC	0.9999910593032837	22	CYP2D6			100	normalize.gene:CYP2D6
188	131	GENETIC	0.9999895095825195	125	CYP2D6			100	normalize.gene:CYP2D6
189	194	GENETIC	0.999991774559021	188	CYP2D6			100	normalize.gene:CYP2D6
190	240	CHEMICAL	0.9999982118606567	230	metoprolol			80	rxcui:6918
191	276	CHEMICAL	0.9999980926513672	266	metoprolol			80	rxcui:6918
193	29	GENETIC	0.9999865293502808	22	CYP2C19	Protonix Delayed-Release	NDA022020	100	normalize.gene:CYP2C19
194	459	GENETIC	0.999994158744812	452	CYP2C19	Protonix Delayed-Release	NDA022020	100	normalize.gene:CYP2C19
195	598	GENETIC	0.9999923706054688	591	CYP2C19	Protonix Delayed-Release	NDA022020	100	normalize.gene:CYP2C19
196	613	GENETIC	0.9999871850013733	600	CYP2C19 * 2 / * 2	Protonix Delayed-Release	NDA022020	0	
197	709	GENETIC	0.9999366402626038	696	CYP2C19 * 1 / * 1	Protonix Delayed-Release	NDA022020	0	
198	742	GENETIC	0.9999870657920837	729	CYP2C19 * 1 / * x	Protonix Delayed-Release	NDA022020	0	
199	267	CHEMICAL	0.9999982118606567	255	pantoprazole	Protonix Delayed-Release	NDA022020	80	rxcui:253191
201	45	GENETIC	0.9999517202377319	38	CYP2C19	Clobazam	ANDA209796	100	normalize.gene:CYP2C19
202	151	GENETIC	0.9999902248382568	144	CYP2C19	Clobazam	ANDA209796	100	normalize.gene:CYP2C19
203	417	GENETIC	0.9999904632568359	410	CYP2C19	Clobazam	ANDA209796	100	normalize.gene:CYP2C19
204	521	GENETIC	0.9999910593032837	514	CYP2C19	Clobazam	ANDA209796	100	normalize.gene:CYP2C19
205	666	GENETIC	0.9999902248382568	659	CYP2C19	Clobazam	ANDA209796	100	normalize.gene:CYP2C19
206	130	CHEMICAL	0.9999985098838806	111	N - desmethylclobazam	Clobazam	ANDA209796	0	
207	195	CHEMICAL	0.9999987483024597	176	N - desmethylclobazam	Clobazam	ANDA209796	0	
208	638	CHEMICAL	0.9999978542327881	630	clobazam	Clobazam	ANDA209796	80	rxcui:21241
210	28	GENETIC	0.9999884366989136	22	CYP2C9	Piroxicam	ANDA206136	100	normalize.gene:CYP2C9
211	112	GENETIC	0.9999892115592957	104	CYP2C9 * 2	Piroxicam	ANDA206136	0	
212	125	GENETIC	0.9999805092811584	117	CYP2C9 * 3	Piroxicam	ANDA206136	0	
213	231	GENETIC	0.9999606609344482	220	CYP2C9 * 1 / * 2	Piroxicam	ANDA206136	0	
214	263	GENETIC	0.9999833106994629	252	CYP2C9 * 1 / * 3	Piroxicam	ANDA206136	0	
215	297	GENETIC	0.9999870657920837	286	CYP2C9 * 3 / * 3	Piroxicam	ANDA206136	0	
216	428	GENETIC	0.9995579719543457	417	CYP2C9 * 1 / * 1	Piroxicam	ANDA206136	0	
217	593	GENETIC	0.9999802708625793	582	CYP2C9 * 1 / * 3	Piroxicam	ANDA206136	0	
218	615	GENETIC	0.9999796748161316	604	CYP2C9 * 3 / * 3	Piroxicam	ANDA206136	0	
219	692	GENETIC	0.9999094009399414	681	CYP2C9 * 1 / * 1	Piroxicam	ANDA206136	0	
220	362	CHEMICAL	0.9999982118606567	353	piroxicam	Piroxicam	ANDA206136	80	rxcui:68115
221	563	CHEMICAL	0.9999982118606567	554	piroxicam	Piroxicam	ANDA206136	80	rxcui:68115
223	29	GENETIC	0.9999805688858032	22	CYP2C19			100	normalize.gene:CYP2C19
224	118	GENETIC	0.9928464889526367	102	CYP2C19 * 1 allele			0	
225	173	GENETIC	0.9403674006462097	149	CYP2C19 * 2 and * 3 alleles			0	
226	485	GENETIC	0.9999911785125732	478	CYP2C19			100	normalize.gene:CYP2C19
227	704	GENETIC	0.9999895095825195	697	CYP2C19			100	normalize.gene:CYP2C19
228	96	CHEMICAL	0.9999982118606567	86	omeprazole			80	rxcui:7646
229	449	CHEMICAL	0.9999982118606567	439	omeprazole			80	rxcui:7646
230	522	CHEMICAL	0.9999982118606567	512	omeprazole			80	rxcui:7646
231	777	CHEMICAL	0.9999978542327881	767	omeprazole			80	rxcui:7646
232	805	CHEMICAL	0.9999980926513672	795	omeprazole			80	rxcui:7646
234	21	GENETIC	0.9999873638153076	17	RYR1	SEVOFLURANE	ANDA075895	100	normalize.gene:RYR1
235	33	GENETIC	0.9999796152114868	26	CACNA1S	SEVOFLURANE	ANDA075895	100	normalize.gene:CACNA1S
236	314	GENETIC	0.9999929666519165	310	RYR1	SEVOFLURANE	ANDA075895	100	normalize.gene:RYR1
237	326	GENETIC	0.9999912977218628	319	CACNA1S	SEVOFLURANE	ANDA075895	100	normalize.gene:CACNA1S
238	231	CHEMICAL	0.9999982118606567	220	sevoflurane	SEVOFLURANE	ANDA075895	80	rxcui:36453
240	138	DISEASE	0.9999831318855286	116	malignant hyperthermia	SEVOFLURANE	ANDA075895	60	ncit:C84869
242	158	DISEASE	0.9999935626983643	155	MHS	SEVOFLURANE	ANDA075895	60	mondo:0020485
244	346	DISEASE	0.9999933242797852	343	MHS	SEVOFLURANE	ANDA075895	60	mondo:0020485
246	545	DISEASE	0.999957799911499	523	Malignant Hyperthermia	SEVOFLURANE	ANDA075895	60	ncit:C84869
248	28	GENETIC	0.9999896287918091	22	CYP2C9	Celecoxib	ANDA210071	100	normalize.gene:CYP2C9
249	170	GENETIC	0.999988317489624	162	CYP2C9 * 2	Celecoxib	ANDA210071	0	
250	183	GENETIC	0.9999842047691345	175	CYP2C9 * 3	Celecoxib	ANDA210071	0	
251	304	GENETIC	0.9990348219871521	293	CYP2C9 * 3 / * 3	Celecoxib	ANDA210071	0	
252	432	GENETIC	0.9962472319602966	421	CYP2C9 * 1 / * 1	Celecoxib	ANDA210071	0	
253	441	GENETIC	0.7071516513824463	438	/ * 3	Celecoxib	ANDA210071	0	
254	540	GENETIC	0.999974250793457	534	CYP2C9	Celecoxib	ANDA210071	100	normalize.gene:CYP2C9
255	330	CHEMICAL	0.9999980926513672	321	celecoxib	Celecoxib	ANDA210071	80	rxcui:140587
256	486	CHEMICAL	0.9999979734420776	477	celecoxib	Celecoxib	ANDA210071	80	rxcui:140587
258	29	GENETIC	0.9999805688858032	22	CYP2C19	OMEPRAZOLE	ANDA203481	100	normalize.gene:CYP2C19
259	118	GENETIC	0.9928464889526367	102	CYP2C19 * 1 allele	OMEPRAZOLE	ANDA203481	0	
260	173	GENETIC	0.9403674006462097	149	CYP2C19 * 2 and * 3 alleles	OMEPRAZOLE	ANDA203481	0	
261	485	GENETIC	0.9999911785125732	478	CYP2C19	OMEPRAZOLE	ANDA203481	100	normalize.gene:CYP2C19
262	704	GENETIC	0.9999895095825195	697	CYP2C19	OMEPRAZOLE	ANDA203481	100	normalize.gene:CYP2C19
263	96	CHEMICAL	0.9999982118606567	86	omeprazole	OMEPRAZOLE	ANDA203481	80	rxcui:7646
264	449	CHEMICAL	0.9999982118606567	439	omeprazole	OMEPRAZOLE	ANDA203481	80	rxcui:7646
265	522	CHEMICAL	0.9999982118606567	512	omeprazole	OMEPRAZOLE	ANDA203481	80	rxcui:7646
266	777	CHEMICAL	0.9999978542327881	767	omeprazole	OMEPRAZOLE	ANDA203481	80	rxcui:7646
267	805	CHEMICAL	0.9999980926513672	795	omeprazole	OMEPRAZOLE	ANDA203481	80	rxcui:7646
269	83	GENETIC	0.9999881982803345	77	UGT1A1	Irinotecan hydrochloide	ANDA212993	100	normalize.gene:UGT1A1
270	120	GENETIC	0.9999926686286926	109	UGT1A1 gene	Irinotecan hydrochloide	ANDA212993	0	
271	150	GENETIC	0.9509958624839783	133	UGT1A1 * 28 [ ( TA ) 7 ]	Irinotecan hydrochloide	ANDA212993	0	
272	157	GENETIC	0.6636368036270142	155	* 6	Irinotecan hydrochloide	ANDA212993	0	
273	195	GENETIC	0.9999848008155823	182	UGT1A1 enzyme	Irinotecan hydrochloide	ANDA212993	0	
274	387	GENETIC	0.9999884366989136	381	UGT1A1	Irinotecan hydrochloide	ANDA212993	100	normalize.gene:UGT1A1
275	547	GENETIC	0.8275241851806641	544	- 38	Irinotecan hydrochloide	ANDA212993	0	
276	561	GENETIC	0.9642735123634338	553	UGT1A1 * 6	Irinotecan hydrochloide	ANDA212993	0	
277	564	GENETIC	0.8798738718032837	562	* 6	Irinotecan hydrochloide	ANDA212993	0	
278	712	GENETIC	0.999993622303009	703	UGT1A1 * 28	Irinotecan hydrochloide	ANDA212993	0	
279	771	GENETIC	0.9999909400939941	762	UGT1A1 * 28	Irinotecan hydrochloide	ANDA212993	0	
280	785	GENETIC	0.9931452870368958	775	* 6 alleles	Irinotecan hydrochloide	ANDA212993	0	
281	791	GENETIC	0.7838613986968994	790	*	Irinotecan hydrochloide	ANDA212993	0	
282	800	GENETIC	0.7948341369628906	795	1 / * 28	Irinotecan hydrochloide	ANDA212993	0	
283	812	GENETIC	0.9999872446060181	806	UGT1A1	Irinotecan hydrochloide	ANDA212993	100	normalize.gene:UGT1A1
284	1106	GENETIC	0.9627093076705933	1082	UGT1A1 * 28 and * 6 alleles	Irinotecan hydrochloide	ANDA212993	0	
285	1201	GENETIC	0.9999889731407166	1192	UGT1A1 * 28	Irinotecan hydrochloide	ANDA212993	0	
286	1208	GENETIC	0.947638988494873	1206	* 6	Irinotecan hydrochloide	ANDA212993	0	
287	1325	GENETIC	0.9996297359466553	1316	UGT1A1 * 28	Irinotecan hydrochloide	ANDA212993	0	
288	1332	GENETIC	0.9866877794265747	1330	* 6	Irinotecan hydrochloide	ANDA212993	0	
289	1530	GENETIC	0.9999895691871643	1514	UGT1A1 * 28 allele	Irinotecan hydrochloide	ANDA212993	0	
290	1603	GENETIC	0.999811589717865	1601	UG	Irinotecan hydrochloide	ANDA212993	0	
291	49	CHEMICAL	0.9999974370002747	44	SN - 38	Irinotecan hydrochloide	ANDA212993	0	
292	504	CHEMICAL	0.9999943375587463	480	irinotecan hydrochloride	Irinotecan hydrochloide	ANDA212993	80	rxcui:153329
293	547	CHEMICAL	0.9999980926513672	542	SN - 38	Irinotecan hydrochloide	ANDA212993	0	
294	1259	CHEMICAL	0.9999984502792358	1249	irinotecan	Irinotecan hydrochloide	ANDA212993	80	rxcui:153329
296	474	DISEASE	0.9999915361404419	463	neutropenia	Irinotecan hydrochloide	ANDA212993	80	mondo:0001475
298	916	DISEASE	0.9999911785125732	905	neutropenia	Irinotecan hydrochloide	ANDA212993	80	mondo:0001475
300	1153	DISEASE	0.9999933242797852	1145	diarrhea	Irinotecan hydrochloide	ANDA212993	60	mondo:0001673
302	54	GENETIC	0.9999889731407166	37	HMG - CoA reductase	Rosuvastatin calcium	ANDA207752	0	
303	107	GENETIC	0.999990701675415	100	OATP1B1	Rosuvastatin calcium	ANDA207752	60	normalize.gene:OATP1B1
304	129	GENETIC	0.5277872085571289	118	transporter	Rosuvastatin calcium	ANDA207752	0	
305	318	GENETIC	0.9999926090240479	311	OATP1B1	Rosuvastatin calcium	ANDA207752	60	normalize.gene:OATP1B1
306	335	GENETIC	0.9975831508636475	321	SLCO1B1 521T > C	Rosuvastatin calcium	ANDA207752	0	
307	391	GENETIC	0.9974077343940735	376	SLCO1B1 521 C / C	Rosuvastatin calcium	ANDA207752	0	
308	44	CHEMICAL	0.9999901652336121	37	HMG - CoA	Rosuvastatin calcium	ANDA207752	0	
309	89	CHEMICAL	0.9999961853027344	77	rosuvastatin	Rosuvastatin calcium	ANDA207752	80	rxcui:301542
310	184	CHEMICAL	0.9999980926513672	172	rosuvastatin	Rosuvastatin calcium	ANDA207752	80	rxcui:301542
311	523	CHEMICAL	0.9999979734420776	511	rosuvastatin	Rosuvastatin calcium	ANDA207752	80	rxcui:301542
313	54	GENETIC	0.9999889731407166	37	HMG - CoA reductase			0	
314	107	GENETIC	0.999990701675415	100	OATP1B1			60	normalize.gene:OATP1B1
315	129	GENETIC	0.5277872085571289	118	transporter			0	
316	318	GENETIC	0.9999926090240479	311	OATP1B1			60	normalize.gene:OATP1B1
317	335	GENETIC	0.9975831508636475	321	SLCO1B1 521T > C			0	
318	391	GENETIC	0.9974077343940735	376	SLCO1B1 521 C / C			0	
319	44	CHEMICAL	0.9999901652336121	37	HMG - CoA			0	
320	89	CHEMICAL	0.9999961853027344	77	rosuvastatin			80	rxcui:301542
321	184	CHEMICAL	0.9999980926513672	172	rosuvastatin			80	rxcui:301542
322	523	CHEMICAL	0.9999979734420776	511	rosuvastatin			80	rxcui:301542
324	29	GENETIC	0.9999865293502808	22	CYP2C19			100	normalize.gene:CYP2C19
325	459	GENETIC	0.999994158744812	452	CYP2C19			100	normalize.gene:CYP2C19
326	598	GENETIC	0.9999923706054688	591	CYP2C19			100	normalize.gene:CYP2C19
327	613	GENETIC	0.9999871850013733	600	CYP2C19 * 2 / * 2			0	
328	709	GENETIC	0.9999366402626038	696	CYP2C19 * 1 / * 1			0	
329	742	GENETIC	0.9999870657920837	729	CYP2C19 * 1 / * x			0	
330	267	CHEMICAL	0.9999982118606567	255	pantoprazole			80	rxcui:253191
332	180	GENETIC	0.9990986585617065	169	UGT enzymes			0	
333	277	GENETIC	0.838056743144989	274	CYP			60	normalize.gene:CYP
