	end	entity_group	score	start	word	match_score	concept_id	match_type
49	54	GENETIC	0.9999898672103882	37	HMG - CoA reductase			0
50	107	GENETIC	0.9999833106994629	100	OATP1B1		normalize.gene:OATP1B1	60
51	127	GENETIC	0.5277884006500244	118	transport			0
52	318	GENETIC	0.9999857544898987	311	OATP1B1		normalize.gene:OATP1B1	60
53	335	GENETIC	0.9989286661148071	321	SLCO1B1 521T > C			0
54	391	GENETIC	0.9982836842536926	376	SLCO1B1 521 C / C			0
55	44	CHEMICAL	0.9999144673347473	37	HMG - CoA			0
56	78	CHEMICAL	0.9999961853027344	77	r		rxcui:1091	60
57	89	CHEMICAL	0.9870646595954895	78	##osuvastatin			0
58	173	CHEMICAL	0.9999980926513672	172	r		rxcui:1091	60
59	184	CHEMICAL	0.9155781865119934	173	##osuvastatin			0
60	523	CHEMICAL	0.9844913482666016	511	rosuvastatin		rxcui:301542	80
62	28	GENETIC	0.9999602437019348	22	CYP2C9		normalize.gene:CYP2C9	100
63	170	GENETIC	0.9999871253967285	162	CYP2C9 * 2			0
64	183	GENETIC	0.9999581575393677	175	CYP2C9 * 3			0
65	188	GENETIC	0.5450419187545776	185	##oly			0
66	197	GENETIC	0.6265862584114075	196	##s			0
67	304	GENETIC	0.999428391456604	293	CYP2C9 * 3 / * 3			0
68	432	GENETIC	0.9983139038085938	421	CYP2C9 * 1 / * 1			0
69	441	GENETIC	0.7672799229621887	438	/ * 3			0
70	540	GENETIC	0.9999071359634399	534	CYP2C9		normalize.gene:CYP2C9	100
71	330	CHEMICAL	0.9560286402702332	321	celecoxib		rxcui:140587	80
72	478	CHEMICAL	0.9999979734420776	477	c			0
73	486	CHEMICAL	0.9862581491470337	478	##elecoxib			0
75	29	GENETIC	0.9999884366989136	22	CYP2C19		normalize.gene:CYP2C19	100
76	459	GENETIC	0.9999825358390808	452	CYP2C19		normalize.gene:CYP2C19	100
77	598	GENETIC	0.999733567237854	591	CYP2C19		normalize.gene:CYP2C19	100
78	616	GENETIC	0.9999847412109375	600	CYP2C19 * 2 / * 2			0
79	715	GENETIC	0.9999550580978394	699	CYP2C19 * 1 / * 1			0
80	751	GENETIC	0.9999863505363464	735	CYP2C19 * 1 / * x			0
81	267	CHEMICAL	0.9999754428863525	255	pantoprazole		rxcui:253191	80
83	29	GENETIC	0.9999853372573853	22	CYP2C19		normalize.gene:CYP2C19	100
84	118	GENETIC	0.9881380796432495	102	CYP2C19 * 1 allele			0
85	169	GENETIC	0.9610321521759033	149	CYP2C19 * 2 and * 3 all			0
86	485	GENETIC	0.9999669790267944	478	CYP2C19		normalize.gene:CYP2C19	100
87	727	GENETIC	0.9999504089355469	720	CYP2C19		normalize.gene:CYP2C19	100
88	96	CHEMICAL	0.9999712109565735	86	omeprazole		rxcui:7646	80
89	449	CHEMICAL	0.9999883770942688	439	omeprazole		rxcui:7646	80
90	522	CHEMICAL	0.9999906420707703	512	omeprazole		rxcui:7646	80
91	800	CHEMICAL	0.9999595880508423	790	omeprazole		rxcui:7646	80
92	828	CHEMICAL	0.9999696016311646	818	omeprazole		rxcui:7646	80
94	29	GENETIC	0.9999891519546509	22	CYP2C19		normalize.gene:CYP2C19	100
95	455	GENETIC	0.9999836683273315	448	CYP2C19		normalize.gene:CYP2C19	100
96	594	GENETIC	0.9998055696487427	587	CYP2C19		normalize.gene:CYP2C19	100
97	609	GENETIC	0.9999860525131226	596	CYP2C19 * 2 / * 2			0
98	705	GENETIC	0.9999480247497559	692	CYP2C19 * 1 / * 1			0
99	738	GENETIC	0.9999873042106628	725	CYP2C19 * 1 / * x			0
100	267	CHEMICAL	0.9999798536300659	255	pantoprazole		rxcui:253191	80
102	29	GENETIC	0.9999859929084778	22	CYP2C19		normalize.gene:CYP2C19	100
103	118	GENETIC	0.9866571426391602	102	CYP2C19 * 1 allele			0
104	169	GENETIC	0.9620485305786133	149	CYP2C19 * 2 and * 3 all			0
105	485	GENETIC	0.9999691247940063	478	CYP2C19		normalize.gene:CYP2C19	100
106	704	GENETIC	0.9999534487724304	697	CYP2C19		normalize.gene:CYP2C19	100
107	96	CHEMICAL	0.9999710321426392	86	omeprazole		rxcui:7646	80
108	449	CHEMICAL	0.9999885559082031	439	omeprazole		rxcui:7646	80
109	522	CHEMICAL	0.999991238117218	512	omeprazole		rxcui:7646	80
110	777	CHEMICAL	0.9998747110366821	767	omeprazole		rxcui:7646	80
111	805	CHEMICAL	0.9999847412109375	795	omeprazole		rxcui:7646	80
113	54	GENETIC	0.9999898672103882	37	HMG - CoA reductase			0
114	107	GENETIC	0.9999833106994629	100	OATP1B1		normalize.gene:OATP1B1	60
115	127	GENETIC	0.5277884006500244	118	transport			0
116	318	GENETIC	0.9999857544898987	311	OATP1B1		normalize.gene:OATP1B1	60
117	335	GENETIC	0.9989286661148071	321	SLCO1B1 521T > C			0
118	391	GENETIC	0.9982836842536926	376	SLCO1B1 521 C / C			0
119	44	CHEMICAL	0.9999144673347473	37	HMG - CoA			0
120	78	CHEMICAL	0.9999961853027344	77	r		rxcui:1091	60
121	89	CHEMICAL	0.9870646595954895	78	##osuvastatin			0
122	173	CHEMICAL	0.9999980926513672	172	r		rxcui:1091	60
123	184	CHEMICAL	0.9155781865119934	173	##osuvastatin			0
124	523	CHEMICAL	0.9844913482666016	511	rosuvastatin		rxcui:301542	80
126	54	GENETIC	0.9999898672103882	37	HMG - CoA reductase			0
127	107	GENETIC	0.9999850392341614	100	OATP1B1		normalize.gene:OATP1B1	60
128	318	GENETIC	0.9999859929084778	311	OATP1B1		normalize.gene:OATP1B1	60
129	333	GENETIC	0.9996569156646729	321	SLCO1B1 521T			0
130	404	GENETIC	0.9984192848205566	389	SLCO1B1 521 C / C			0
131	44	CHEMICAL	0.9999107122421265	37	HMG - CoA			0
132	78	CHEMICAL	0.999996542930603	77	r		rxcui:1091	60
133	89	CHEMICAL	0.9798795580863953	78	##osuvastatin			0
134	173	CHEMICAL	0.9999980926513672	172	r		rxcui:1091	60
135	184	CHEMICAL	0.9518624544143677	173	##osuvastatin			0
136	536	CHEMICAL	0.9943631291389465	524	rosuvastatin		rxcui:301542	80
138	54	GENETIC	0.9999898672103882	37	HMG - CoA reductase			0
139	107	GENETIC	0.9999850392341614	100	OATP1B1		normalize.gene:OATP1B1	60
140	318	GENETIC	0.9999859929084778	311	OATP1B1		normalize.gene:OATP1B1	60
141	333	GENETIC	0.9996569156646729	321	SLCO1B1 521T			0
142	404	GENETIC	0.9984192848205566	389	SLCO1B1 521 C / C			0
143	44	CHEMICAL	0.9999107122421265	37	HMG - CoA			0
144	78	CHEMICAL	0.999996542930603	77	r		rxcui:1091	60
145	89	CHEMICAL	0.9798795580863953	78	##osuvastatin			0
146	173	CHEMICAL	0.9999980926513672	172	r		rxcui:1091	60
147	184	CHEMICAL	0.9518624544143677	173	##osuvastatin			0
148	536	CHEMICAL	0.9943631291389465	524	rosuvastatin		rxcui:301542	80
150	54	GENETIC	0.9999898672103882	37	HMG - CoA reductase			0
151	107	GENETIC	0.9999850392341614	100	OATP1B1		normalize.gene:OATP1B1	60
152	318	GENETIC	0.9999859929084778	311	OATP1B1		normalize.gene:OATP1B1	60
153	333	GENETIC	0.9996569156646729	321	SLCO1B1 521T			0
154	404	GENETIC	0.9984192848205566	389	SLCO1B1 521 C / C			0
155	44	CHEMICAL	0.9999107122421265	37	HMG - CoA			0
156	78	CHEMICAL	0.999996542930603	77	r		rxcui:1091	60
157	89	CHEMICAL	0.9798795580863953	78	##osuvastatin			0
158	173	CHEMICAL	0.9999980926513672	172	r		rxcui:1091	60
159	184	CHEMICAL	0.9518624544143677	173	##osuvastatin			0
160	536	CHEMICAL	0.9943631291389465	524	rosuvastatin		rxcui:301542	80
162	84	GENETIC	0.9999943971633911	49	thiopurine S - methyltransferase gene			0
163	99	GENETIC	0.9999868869781494	92	TPMT * 3B			0
164	111	GENETIC	0.9999564290046692	104	TPMT * 3C			0
165	584	GENETIC	0.9995027780532837	566	TPMT gene variants			0
166	59	CHEMICAL	0.9989660978317261	49	thiopurine			0
167	61	CHEMICAL	0.9997087121009827	60	S			0
168	214	CHEMICAL	0.9999983310699463	213	c			0
169	222	CHEMICAL	0.9952114820480347	214	##isplatin			0
170	373	CHEMICAL	0.9999982118606567	372	c			0
171	381	CHEMICAL	0.9699342250823975	373	##isplatin			0
173	165	DISEASE	0.9961511492729187	154	ototoxicity			0
175	496	DISEASE	0.9959038496017456	485	ototoxicity			0
177	633	DISEASE	0.9930834770202637	622	ototoxicity			0
179	101	CHEMICAL	0.9999963641166687	93	naproxen		rxcui:142442	80
180	154	CHEMICAL	0.9999978542327881	152	as		rxcui:18346	60
181	159	CHEMICAL	0.9891853928565979	154	##pirin			0
182	226	CHEMICAL	0.9999949932098389	224	as		rxcui:18346	60
183	231	CHEMICAL	0.9834369421005249	226	##pirin			0
184	257	CHEMICAL	0.9999871253967285	255	th			0
185	269	CHEMICAL	0.9889715313911438	257	##romboxane B2			0
186	329	CHEMICAL	0.9999854564666748	327	as		rxcui:18346	60
187	334	CHEMICAL	0.9771861433982849	329	##pirin			0
188	360	CHEMICAL	0.999994695186615	352	naproxen		rxcui:142442	80
189	367	CHEMICAL	0.9999904632568359	365	as		rxcui:18346	60
190	372	CHEMICAL	0.9859128594398499	367	##pirin			0
191	447	CHEMICAL	0.9999938011169434	439	naproxen		rxcui:142442	80
192	467	CHEMICAL	0.999815046787262	465	as		rxcui:18346	60
193	472	CHEMICAL	0.9969664216041565	467	##pirin			0
194	579	CHEMICAL	0.9999964833259583	571	naproxen		rxcui:142442	80
195	619	CHEMICAL	0.9999926090240479	617	as		rxcui:18346	60
196	624	CHEMICAL	0.9986554980278015	619	##pirin			0
197	666	CHEMICAL	0.8841492533683777	659	aspirin		rxcui:1191	80
198	712	CHEMICAL	0.9999950528144836	704	naproxen		rxcui:142442	80
199	767	CHEMICAL	0.999994695186615	759	naproxen		rxcui:142442	80
200	821	CHEMICAL	0.9999916553497314	819	as		rxcui:18346	60
201	826	CHEMICAL	0.995936930179596	821	##pirin			0
202	842	CHEMICAL	0.9999921917915344	834	naproxen		rxcui:142442	80
203	876	CHEMICAL	0.9966644644737244	874	as		rxcui:18346	60
204	881	CHEMICAL	0.9965160489082336	876	##pirin			0
205	1037	CHEMICAL	0.9999945759773254	1029	naproxen		rxcui:142442	80
207	28	GENETIC	0.9999563097953796	22	CYP2C9		normalize.gene:CYP2C9	100
208	108	GENETIC	0.9999884366989136	100	CYP2C9 * 2			0
209	129	GENETIC	0.9861041307449341	113	CYP2C9 * 3 alleles			0
210	333	GENETIC	0.9868575930595398	319	CYP2C9 alleles			0
211	439	GENETIC	0.9998335838317871	433	CYP2C9		normalize.gene:CYP2C9	100
212	600	GENETIC	0.9999561309814453	594	CYP2C9		normalize.gene:CYP2C9	100
213	276	CHEMICAL	0.9999982118606567	275	p		chembl:CHEMBL4300766	80
214	284	CHEMICAL	0.9109177589416504	276	##henytoin			0
215	385	CHEMICAL	0.9849437475204468	376	phenytoin		rxcui:71227	80
217	83	GENETIC	0.9999847412109375	77	UGT1A1		normalize.gene:UGT1A1	100
218	120	GENETIC	0.9999922513961792	109	UGT1A1 gene			0
219	150	GENETIC	0.9697422385215759	133	UGT1A1 * 28 [ ( TA ) 7 ]			0
220	157	GENETIC	0.6636350154876709	155	* 6			0
221	195	GENETIC	0.9999879002571106	182	UGT1A1 enzyme			0
222	387	GENETIC	0.9999849200248718	381	UGT1A1		normalize.gene:UGT1A1	100
223	547	GENETIC	0.8808937668800354	543	##N - 38			0
224	561	GENETIC	0.9863321781158447	553	UGT1A1 * 6			0
225	564	GENETIC	0.8798726201057434	562	* 6			0
226	712	GENETIC	0.9999908804893494	703	UGT1A1 * 28			0
227	771	GENETIC	0.9999873638153076	762	UGT1A1 * 28			0
228	785	GENETIC	0.9686981439590454	775	* 6 alleles			0
229	791	GENETIC	0.7838592529296875	790	*			0
230	800	GENETIC	0.7948338985443115	795	1 / * 28			0
231	812	GENETIC	0.9999601244926453	806	UGT1A1		normalize.gene:UGT1A1	100
232	1106	GENETIC	0.9616430997848511	1082	UGT1A1 * 28 and * 6 alleles			0
233	1201	GENETIC	0.9999878406524658	1192	UGT1A1 * 28			0
234	1208	GENETIC	0.9476388692855835	1206	* 6			0
235	1325	GENETIC	0.9997947812080383	1316	UGT1A1 * 28			0
236	1332	GENETIC	0.9866877198219299	1330	* 6			0
237	1530	GENETIC	0.9999755024909973	1514	UGT1A1 * 28 allele			0
238	1603	GENETIC	0.9998869895935059	1601	UG			0
239	49	CHEMICAL	0.9999765157699585	44	SN - 38			0
240	504	CHEMICAL	0.9587279558181763	480	irinotecan hydrochloride		rxcui:153329	80
241	547	CHEMICAL	0.999760627746582	542	SN - 38			0
242	1250	CHEMICAL	0.9999984502792358	1249	i		rxcui:6033	60
243	1259	CHEMICAL	0.9918439984321594	1250	##rinotecan			0
245	465	DISEASE	0.9999915361404419	463	ne			0
246	474	DISEASE	0.8489180207252502	465	##utropenia			0
248	916	DISEASE	0.9301431179046631	905	neutropenia		mondo:0001475	80
250	1147	DISEASE	0.9999933242797852	1145	di		ncit:C84667	60
251	1153	DISEASE	0.9384593367576599	1147	##arrhea			0
253	180	GENETIC	0.9992002248764038	169	UGT enzymes			0
254	275	GENETIC	0.8380560278892517	274	C			0
255	292	GENETIC	0.9999626278877258	286	CYP2D6		normalize.gene:CYP2D6	100
256	304	GENETIC	0.9998248815536499	297	CYP2C19		normalize.gene:CYP2C19	100
257	355	GENETIC	0.9999762773513794	349	CYP2D6		normalize.gene:CYP2D6	100
258	376	GENETIC	0.9961155652999878	363	UGT1A1 enzyme			0
259	483	GENETIC	0.9999617338180542	477	CYP2D6		normalize.gene:CYP2D6	100
260	504	GENETIC	0.9960793852806091	491	UGT1A1 enzyme			0
261	34	CHEMICAL	0.9962215423583984	22	Arformoterol		rxcui:304962	80
262	134	CHEMICAL	0.9999982118606567	133	a		rxcui:426	60
263	145	CHEMICAL	0.9983394742012024	134	##rformoterol			0
264	220	CHEMICAL	0.9999963045120239	219	O		rxcui:7806	60
265	432	CHEMICAL	0.9999980926513672	431	a		rxcui:426	60
266	443	CHEMICAL	0.9999721050262451	432	##rformoterol			0
268	54	GENETIC	0.9999898672103882	37	HMG - CoA reductase			0
269	107	GENETIC	0.9999833106994629	100	OATP1B1		normalize.gene:OATP1B1	60
270	127	GENETIC	0.5277884006500244	118	transport			0
271	318	GENETIC	0.9999857544898987	311	OATP1B1		normalize.gene:OATP1B1	60
272	335	GENETIC	0.9989286661148071	321	SLCO1B1 521T > C			0
273	391	GENETIC	0.9982836842536926	376	SLCO1B1 521 C / C			0
274	44	CHEMICAL	0.9999144673347473	37	HMG - CoA			0
275	78	CHEMICAL	0.9999961853027344	77	r		rxcui:1091	60
276	89	CHEMICAL	0.9870646595954895	78	##osuvastatin			0
277	173	CHEMICAL	0.9999980926513672	172	r		rxcui:1091	60
278	184	CHEMICAL	0.9155781865119934	173	##osuvastatin			0
279	523	CHEMICAL	0.9844913482666016	511	rosuvastatin		rxcui:301542	80
281	29	GENETIC	0.9999895095825195	22	CYP2C19		normalize.gene:CYP2C19	100
282	459	GENETIC	0.9999833106994629	452	CYP2C19		normalize.gene:CYP2C19	100
283	598	GENETIC	0.9997619390487671	591	CYP2C19		normalize.gene:CYP2C19	100
284	613	GENETIC	0.999984860420227	600	CYP2C19 * 2 / * 2			0
285	709	GENETIC	0.9999562501907349	696	CYP2C19 * 1 / * 1			0
286	742	GENETIC	0.9999874234199524	729	CYP2C19 * 1 / * x			0
287	267	CHEMICAL	0.9999775886535645	255	pantoprazole		rxcui:253191	80
289	29	GENETIC	0.9999859929084778	22	CYP2C19		normalize.gene:CYP2C19	100
290	118	GENETIC	0.9866571426391602	102	CYP2C19 * 1 allele			0
291	169	GENETIC	0.9620485305786133	149	CYP2C19 * 2 and * 3 all			0
292	485	GENETIC	0.9999691247940063	478	CYP2C19		normalize.gene:CYP2C19	100
293	704	GENETIC	0.9999534487724304	697	CYP2C19		normalize.gene:CYP2C19	100
294	96	CHEMICAL	0.9999710321426392	86	omeprazole		rxcui:7646	80
295	449	CHEMICAL	0.9999885559082031	439	omeprazole		rxcui:7646	80
296	522	CHEMICAL	0.999991238117218	512	omeprazole		rxcui:7646	80
297	777	CHEMICAL	0.9998747110366821	767	omeprazole		rxcui:7646	80
298	805	CHEMICAL	0.9999847412109375	795	omeprazole		rxcui:7646	80
300	28	GENETIC	0.9999818801879883	22	CYP2D6		normalize.gene:CYP2D6	100
301	131	GENETIC	0.9999683499336243	125	CYP2D6		normalize.gene:CYP2D6	100
302	194	GENETIC	0.9999613761901855	188	CYP2D6		normalize.gene:CYP2D6	100
303	240	CHEMICAL	0.9999915957450867	230	metoprolol		rxcui:6918	80
304	276	CHEMICAL	0.9997285604476929	266	metoprolol		rxcui:6918	80
306	29	GENETIC	0.9999884366989136	22	CYP2C19		normalize.gene:CYP2C19	100
307	459	GENETIC	0.9999825358390808	452	CYP2C19		normalize.gene:CYP2C19	100
308	598	GENETIC	0.999733567237854	591	CYP2C19		normalize.gene:CYP2C19	100
309	613	GENETIC	0.9999847412109375	600	CYP2C19 * 2 / * 2			0
310	709	GENETIC	0.9999550580978394	696	CYP2C19 * 1 / * 1			0
311	742	GENETIC	0.9999863505363464	729	CYP2C19 * 1 / * x			0
312	267	CHEMICAL	0.9999754428863525	255	pantoprazole		rxcui:253191	80
314	53	GENETIC	0.999992311000824	47	UGT1A1		normalize.gene:UGT1A1	100
315	127	GENETIC	0.9999919533729553	116	UGT1A1 gene			0
316	156	GENETIC	0.9999912977218628	140	UGT1A1 * 28 allele			0
317	186	GENETIC	0.9999890923500061	173	UGT1A1 enzyme			0
318	268	GENETIC	0.9999938011169434	252	UGT1A1 * 28 allele			0
319	609	GENETIC	0.9999932050704956	593	UGT1A1 * 28 allele			0
320	791	GENETIC	0.9999930262565613	775	UGT1A1 * 28 allele			0
321	849	GENETIC	0.9999933838844299	840	UGT1A1 * 28			0
322	27	CHEMICAL	0.999975860118866	22	SN - 38			0
323	353	CHEMICAL	0.9275431036949158	345	TRODELVY		rxcui:2360231	80
325	306	DISEASE	0.9982811212539673	295	neutropenia		mondo:0001475	80
327	309	DISEASE	0.9999752044677734	308	f			0
328	327	DISEASE	0.9971047043800354	309	##ebrile neutropenia			0
330	339	DISEASE	0.9995173215866089	333	anemia		ncit:C2869	80
332	45	GENETIC	0.9999717473983765	38	CYP2C19		normalize.gene:CYP2C19	100
333	152	GENETIC	0.9999804496765137	145	CYP2C19		normalize.gene:CYP2C19	100
334	415	GENETIC	0.9999785423278809	408	CYP2C19		normalize.gene:CYP2C19	100
335	519	GENETIC	0.9999812841415405	512	CYP2C19		normalize.gene:CYP2C19	100
336	663	GENETIC	0.9999710321426392	656	CYP2C19		normalize.gene:CYP2C19	100
337	131	CHEMICAL	0.9999984502792358	111	N - desmethyl - clobazam			0
338	196	CHEMICAL	0.9999973773956299	177	N - desmethylclobazam			0
339	635	CHEMICAL	0.9998049139976501	627	clobazam		rxcui:21241	80
341	45	GENETIC	0.9999731183052063	38	CYP2C19		normalize.gene:CYP2C19	100
342	151	GENETIC	0.9999811053276062	144	CYP2C19		normalize.gene:CYP2C19	100
343	417	GENETIC	0.999976634979248	410	CYP2C19		normalize.gene:CYP2C19	100
344	521	GENETIC	0.9999780654907227	514	CYP2C19		normalize.gene:CYP2C19	100
345	666	GENETIC	0.9999665021896362	659	CYP2C19		normalize.gene:CYP2C19	100
346	130	CHEMICAL	0.9999978542327881	111	N - desmethylclobazam			0
347	195	CHEMICAL	0.9999971389770508	176	N - desmethylclobazam			0
348	638	CHEMICAL	0.9998574256896973	630	clobazam		rxcui:21241	80
350	28	GENETIC	0.9999656677246094	22	CYP2C9		normalize.gene:CYP2C9	100
351	112	GENETIC	0.9999828338623047	104	CYP2C9 * 2			0
352	125	GENETIC	0.9999405741691589	117	CYP2C9 * 3			0
353	231	GENETIC	0.9999591708183289	220	CYP2C9 * 1 / * 2			0
354	263	GENETIC	0.9999802708625793	252	CYP2C9 * 1 / * 3			0
355	297	GENETIC	0.9999793171882629	286	CYP2C9 * 3 / * 3			0
356	428	GENETIC	0.999657154083252	417	CYP2C9 * 1 / * 1			0
357	593	GENETIC	0.9999578595161438	582	CYP2C9 * 1 / * 3			0
358	615	GENETIC	0.999947190284729	604	CYP2C9 * 3 / * 3			0
359	692	GENETIC	0.9999224543571472	681	CYP2C9 * 1 / * 1			0
360	362	CHEMICAL	0.9137585759162903	353	piroxicam		rxcui:68115	80
361	563	CHEMICAL	0.9364194869995117	554	piroxicam		rxcui:68115	80
363	29	GENETIC	0.9999884366989136	22	CYP2C19		normalize.gene:CYP2C19	100
364	459	GENETIC	0.9999825358390808	452	CYP2C19		normalize.gene:CYP2C19	100
365	598	GENETIC	0.999733567237854	591	CYP2C19		normalize.gene:CYP2C19	100
366	613	GENETIC	0.9999847412109375	600	CYP2C19 * 2 / * 2			0
367	709	GENETIC	0.9999550580978394	696	CYP2C19 * 1 / * 1			0
368	742	GENETIC	0.9999863505363464	729	CYP2C19 * 1 / * x			0
369	267	CHEMICAL	0.9999754428863525	255	pantoprazole		rxcui:253191	80
371	29	GENETIC	0.9999859929084778	22	CYP2C19		normalize.gene:CYP2C19	100
372	118	GENETIC	0.9866571426391602	102	CYP2C19 * 1 allele			0
373	169	GENETIC	0.9620485305786133	149	CYP2C19 * 2 and * 3 all			0
374	485	GENETIC	0.9999691247940063	478	CYP2C19		normalize.gene:CYP2C19	100
375	704	GENETIC	0.9999534487724304	697	CYP2C19		normalize.gene:CYP2C19	100
376	96	CHEMICAL	0.9999710321426392	86	omeprazole		rxcui:7646	80
377	449	CHEMICAL	0.9999885559082031	439	omeprazole		rxcui:7646	80
378	522	CHEMICAL	0.999991238117218	512	omeprazole		rxcui:7646	80
379	777	CHEMICAL	0.9998747110366821	767	omeprazole		rxcui:7646	80
380	805	CHEMICAL	0.9999847412109375	795	omeprazole		rxcui:7646	80
382	142	GENETIC	0.9996548295021057	116	cytochrome P450 ( CYP ) 2C19			0
383	165	CHEMICAL	0.9999510049819946	155	lacosamide		rxcui:623400	80
384	296	CHEMICAL	0.8312957882881165	285	O - desmethyl			0
386	21	GENETIC	0.9999330639839172	17	RYR1		normalize.gene:RYR1	100
387	33	GENETIC	0.9999251365661621	26	CACNA1S		normalize.gene:CACNA1S	100
388	314	GENETIC	0.9999538660049438	310	RYR1		normalize.gene:RYR1	100
389	326	GENETIC	0.9999672174453735	319	CACNA1S		normalize.gene:CACNA1S	100
390	231	CHEMICAL	0.9999047517776489	220	sevoflurane		rxcui:36453	80
392	138	DISEASE	0.9983137249946594	116	malignant hyperthermia		ncit:C84869	80
394	158	DISEASE	0.9999666810035706	155	MHS		mondo:0020485	60
396	346	DISEASE	0.9999778270721436	343	MHS		mondo:0020485	60
398	545	DISEASE	0.9996275305747986	523	Malignant Hyperthermia		ncit:C84869	80
400	95	GENETIC	0.9999634623527527	89	UGT1A1		normalize.gene:UGT1A1	100
401	336	GENETIC	0.9999139904975891	329	UGT1A1 *			0
402	52	CHEMICAL	0.9931570291519165	43	bilirubin		iuphar.ligand:4577	80
403	285	CHEMICAL	0.9577569961547852	276	bilirubin		iuphar.ligand:4577	80
405	169	DISEASE	0.9999898672103882	168	h			0
406	186	DISEASE	0.97940993309021	169	##yperbilirubinemia			0
408	28	GENETIC	0.999960720539093	22	CYP2C9		normalize.gene:CYP2C9	100
409	170	GENETIC	0.9999871253967285	162	CYP2C9 * 2			0
410	183	GENETIC	0.9999586939811707	175	CYP2C9 * 3			0
411	188	GENETIC	0.5365740656852722	185	##oly			0
412	197	GENETIC	0.619838535785675	196	##s			0
413	304	GENETIC	0.9994117617607117	293	CYP2C9 * 3 / * 3			0
414	432	GENETIC	0.9982537031173706	421	CYP2C9 * 1 / * 1			0
415	441	GENETIC	0.760198175907135	438	/ * 3			0
416	540	GENETIC	0.9999078512191772	534	CYP2C9		normalize.gene:CYP2C9	100
417	330	CHEMICAL	0.9567766189575195	321	celecoxib		rxcui:140587	80
418	478	CHEMICAL	0.9999979734420776	477	c			0
419	486	CHEMICAL	0.9860305786132812	478	##elecoxib			0
421	48	GENETIC	0.9999220371246338	38	DQA1 * 02 : 01			0
422	63	GENETIC	0.9999629259109497	53	DRB1 * 07 : 01			0
423	360	GENETIC	0.9999890923500061	350	DQA1 * 02 : 01			0
